Sherlock Holmes 
The Blind Side  
The Dark Knight 
The Hangover 
He's Just Not That Into You 
The Notebook 
The Hangover 
I Am Legend 
The Wizard of Oz 
Elf 
Batman Begins 
Happy Feet 
P.S. I Love You 
Harry Potter and the Half-Blood Prince 
Harry Potter and the Sorcerer's Stone 
The Clique 
Harry Potter and the Goblet of Fire 
300 
The Lord of the Rings: The Fellowship of the Ring 
Harry Potter and the Prisoner of Azkaban 
Harry Potter and the Order of the Phoenix 
A Walk to Remember 
The Goonies 
The Departed 
Dumb and Dumber 
The Lord of the Rings: The Return of the King 
Gone With the Wind 
Harry Potter and the Chamber of Secrets 
Another Cinderella Story 
National Lampoon's Christmas Vacation 
The Book of Eli 
Ocean's Eleven 
The Lord of the Rings: The Two Towers 
Invictus 
Get Smart 
The Time Traveler's Wife 
Ghosts of Girlfriends Past 
The Shawshank Redemption 
The Invention of Lying 
17 Again 
V for Vendetta 
The Matrix 
Blow 
The Blind Side  
The Dark Knight 
The Hangover 
